RowNumber,ProductNumber,CoverDate,Title,Url,Version,PublicationDate
1,"IF10604","8/17/2021","Terrorist Groups in Afghanistan","https://crsreports.congress.gov/product/pdf/download/IF/IF10604/IF10604.pdf/","13","02/16/2017"
2,"R46879","8/20/2021","U.S. Military Withdrawal and Taliban Takeover in Afghanistan: Frequently Asked Questions","https://crsreports.congress.gov/product/pdf/download/R/R46879/R46879.pdf/","1","08/20/2021"
3,"IN11726","8/17/2021","The Afghanistan Withdrawal: Military and Defense Implications","https://crsreports.congress.gov/product/pdf/download/IN/IN11726/IN11726.pdf/","2","08/17/2021"
4,"R46197","1/28/2020","The Washington Post's 'Afghanistan Papers' and U.S. Policy: Main Points and Possible Questions for Congress","https://crsreports.congress.gov/product/pdf/download/R/R46197/R46197.pdf/","4","01/28/2020"
5,"R44116","2/22/2021","Department of Defense Contractor and Troop Levels in Afghanistan and Iraq: 2007-2020","https://crsreports.congress.gov/product/pdf/download/R/R44116/R44116.pdf/","23","07/22/2015"
6,"IN11725","8/16/2021","Taliban Establish Control Over Afghanistan Amid Government Collapse and U.S. Withdrawal","https://crsreports.congress.gov/product/pdf/download/IN/IN11725/IN11725.pdf/","2","08/16/2021"
7,"IF11646","8/18/2021","Afghan Women and Girls: Status and Congressional Action ","https://crsreports.congress.gov/product/pdf/download/IF/IF11646/IF11646.pdf/","8","09/11/2020"
8,"IN11428","6/19/2020","International Criminal Court: U.S. Sanctions in Response to Investigation of War Crimes in Afghanistan","https://crsreports.congress.gov/product/pdf/download/IN/IN11428/IN11428.pdf/","1","06/19/2020"
9,"IN11502","9/16/2020","Intra-Afghan Talks Commence in Doha, Qatar","https://crsreports.congress.gov/product/pdf/download/IN/IN11502/IN11502.pdf/","2","09/16/2020"
10,"R45122","6/11/2021","Afghanistan: Background and U.S. Policy: In Brief","https://crsreports.congress.gov/product/pdf/download/R/R45122/R45122.pdf/","47","03/05/2018"
11,"R44853","5/19/2017","Additional Troops for Afghanistan? Considerations for Congress","https://crsreports.congress.gov/product/pdf/download/R/R44853/R44853.pdf/","3","05/19/2017"
12,"R43725","6/21/2021","Iraqi and Afghan Special Immigrant Visa Programs","https://crsreports.congress.gov/product/pdf/download/R/R43725/R43725.pdf/","17","09/12/2014"
13,"LSB10505","6/30/2020","Can the International Criminal Court Investigate U.S. Personnel?","https://crsreports.congress.gov/product/pdf/download/LSB/LSB10505/LSB10505.pdf/","1","06/30/2020"
14,"IF11182","4/18/2019","U.S. War Costs, Casualties, and Personnel Levels Since 9/11 ","https://crsreports.congress.gov/product/pdf/download/IF/IF11182/IF11182.pdf/","2","04/18/2019"
15,"IF10290","8/14/2020","Tajikistan","https://crsreports.congress.gov/product/pdf/download/IF/IF10290/IF10290.pdf/","12","09/15/2015"
16,"IF11854","6/14/2021","Al Qaeda: Background, Current Status, and U.S. Policy","https://crsreports.congress.gov/product/pdf/download/IF/IF11854/IF11854.pdf/","2","06/14/2021"
17,"IF10600","2/3/2021","Defense Primer: Department of Defense Contractors","https://crsreports.congress.gov/product/pdf/download/IF/IF10600/IF10600.pdf/","9","02/10/2017"
18,"R43074","5/17/2013","Department of Defense's Use of Contractors to Support Military Operations: Background, Analysis, and Issues for Congress","https://crsreports.congress.gov/product/pdf/download/R/R43074/R43074.pdf/","7","05/17/2013"
19,"IF11270","7/8/2021","Pakistan-U.S. Relations","https://crsreports.congress.gov/product/pdf/download/IF/IF11270/IF11270.pdf/","4","07/15/2019"
20,"IF10302","9/22/2020","Uzbekistan","https://crsreports.congress.gov/product/pdf/download/IF/IF10302/IF10302.pdf/","7","10/13/2015"
21,"IF10899","5/17/2021","Trends in Active-Duty Military Deaths Since 2006","https://crsreports.congress.gov/product/pdf/download/IF/IF10899/IF10899.pdf/","12","06/01/2018"
22,"IF10497","11/4/2016","Global Polio Eradication Efforts","https://crsreports.congress.gov/product/pdf/download/IF/IF10497/IF10497.pdf/","2","11/04/2016"
23,"R41832","5/24/2012","Pakistan-U.S. Relations","https://crsreports.congress.gov/product/pdf/download/R/R41832/R41832.pdf/","16","05/24/2011"
24,"IG10000","12/15/2015","U.S. Military Casualty Statistics","https://crsreports.congress.gov/product/pdf/download/IG/IG10000/IG10000.pdf/","7","10/03/2016"
25,"RS21405","6/5/2020","U.S. Periods of War and Dates of Recent Conflicts","https://crsreports.congress.gov/product/pdf/download/RS/RS21405/RS21405.pdf/","31","05/19/2005"
26,"IF11428","2/13/2020","United States Central Command","https://crsreports.congress.gov/product/pdf/download/IF/IF11428/IF11428.pdf/","1","02/13/2020"
27,"R43788","1/28/2015","Defense: FY2015 Authorization and Appropriations","https://crsreports.congress.gov/product/pdf/download/R/R43788/R43788.pdf/","12","11/17/2014"
28,"IF11094","6/24/2021","U.S.-European Relations in the 117th Congress","https://crsreports.congress.gov/product/pdf/download/IF/IF11094/IF11094.pdf/","14","02/04/2019"
29,"R43983","4/14/2015","2001 Authorization for Use of Military Force: Issues Concerning Its Continued Application ","https://crsreports.congress.gov/product/pdf/download/R/R43983/R43983.pdf/","3","04/14/2015"
30,"IF11726","1/13/2021","Middle East: Key Issues for the 117th Congress","https://crsreports.congress.gov/product/pdf/download/IF/IF11726/IF11726.pdf/","3","01/13/2021"
31,"RL34024","11/30/2015","Veterans and Homelessness","https://crsreports.congress.gov/product/pdf/download/RL/RL34024/RL34024.pdf/","47","05/31/2007"
32,"R43717","9/3/2014","Pakistan Political Unrest: In Brief","https://crsreports.congress.gov/product/pdf/download/R/R43717/R43717.pdf/","3","09/05/2014"
33,"IF10211","4/4/2019","Foreign Leaders Addressing Congress","https://crsreports.congress.gov/product/pdf/download/IF/IF10211/IF10211.pdf/","8","04/28/2015"
