Source Name,Source URL,Name,URL
White House Releases,https://www.whitehouse.gov/briefing-room/speeches-remarks/,Remarks by President Biden at Signing of Executive Orders Advancing His Priority to Modernize Our Immigration System,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/02/02/remarks-by-president-biden-at-signing-of-executive-orders-advancing-his-priority-to-modernize-our-immigration-system/
White House Releases,https://www.whitehouse.gov/briefing-room/speeches-remarks/,"Remarks by President Biden at Signing of Executive Orders Strengthening Americans’ Access to Quality, Affordable Healthcare",https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/01/28/remarks-by-president-biden-at-signing-of-executive-orders-strengthening-americans-access-to-quality-affordable-healthcare/
White House Releases,https://www.whitehouse.gov/briefing-room/speeches-remarks/,"Remarks by President Biden Before Signing Executive Actions on Tackling Climate Change, Creating Jobs, and Restoring Scientific Integrity",https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/01/27/remarks-by-president-biden-before-signing-executive-actions-on-tackling-climate-change-creating-jobs-and-restoring-scientific-integrity/
White House Releases,https://www.whitehouse.gov/briefing-room/speeches-remarks/,Remarks by President Biden on the Fight to Contain the COVID-⁠19 Pandemic,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/01/26/remarks-by-president-biden-on-the-fight-to-contain-the-covid-19-pandemic/
White House Releases,https://www.whitehouse.gov/briefing-room/speeches-remarks/,Remarks by President Biden at Signing of an Executive Order on Racial Equity,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/01/26/remarks-by-president-biden-at-signing-of-an-executive-order-on-racial-equity/
White House Releases,https://www.whitehouse.gov/briefing-room/speeches-remarks/,Remarks by President Biden at Signing of Executive Order on Strengthening American Manufacturing,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/01/25/remarks-by-president-biden-at-signing-of-executive-order-on-strengthening-american-manufacturing/
White House Releases,https://www.whitehouse.gov/briefing-room/speeches-remarks/,Remarks by President Biden in Signing of Executive Order Reversing the 2018 Transgender Military Ban,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/01/25/remarks-by-president-biden-in-signing-of-executive-order-reversing-the-2018-transgender-military-ban/
White House Releases,https://www.whitehouse.gov/briefing-room/speeches-remarks/,Remarks by President Biden on the American Rescue Plan and Signing of Executive Orders,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/01/22/remarks-by-president-biden-on-the-american-rescue-plan-and-signing-of-executive-orders/
White House Releases,https://www.whitehouse.gov/briefing-room/speeches-remarks/,Remarks by Vice President Kamala Harris at the Celebration of America,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/01/20/remarks-by-vice-president-kamala-harris-at-the-celebration-of-america/
White House Releases,https://www.whitehouse.gov/briefing-room/speeches-remarks/,"Inaugural Address by President Joseph R. Biden, Jr.",https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/01/20/inaugural-address-by-president-joseph-r-biden-jr/
White House Releases,https://www.whitehouse.gov/briefing-room/speeches-remarks/,Remarks by President Biden to National Institutes of Health Staff,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/02/11/remarks-by-president-biden-to-national-institutes-of-health-staff/
White House Releases,https://www.whitehouse.gov/briefing-room/speeches-remarks/,Remarks by President Biden During Tour of the Viral Pathogenesis Laboratory,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/02/11/remarks-by-president-biden-during-tour-of-the-viral-pathogenesis-laboratory/
White House Releases,https://www.whitehouse.gov/briefing-room/speeches-remarks/,Remarks by President Biden Before Meeting with Senators on the Critical Need to Invest in Modern and Sustainable American Infrastrucutre,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/02/11/remarks-by-president-biden-before-meeting-with-senators-on-the-critical-need-to-invest-in-modern-and-sustainable-american-infrastrucutre/
White House Releases,https://www.whitehouse.gov/briefing-room/speeches-remarks/,Remarks by President Biden to Department of Defense Personnel,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/02/10/remarks-by-president-biden-to-department-of-defense-personnel/
White House Releases,https://www.whitehouse.gov/briefing-room/speeches-remarks/,Remarks by President Biden on the Administration’s Response to the Coup in Burma,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/02/10/remarks-by-president-biden-on-the-administrations-response-to-the-coup-in-burma/
White House Releases,https://www.whitehouse.gov/briefing-room/speeches-remarks/,Remarks by President Biden Before a Business Leaders Meeting on the American Rescue Plan,https://www.whitehouse.gov/briefing-room/speeches-remarks/2021/02/09/remarks-by-president-biden-before-a-business-leaders-meeting-on-the-american-rescue-plan/
